log_population,log_density,birth_rate,death_rate,life_expectancy,infant_mortality,log_gdp,log_gdp_pc,unemployment,electricity_consumption,internet_users,year,years_since_1970,growth_rate,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,Income_High income: nonOECD,Income_Low income,Income_Lower middle income,Income_Upper middle income,life_exp_x_gdp_pc,birth_rate_x_internet
18.489718357105062,7.0562054560590255,35.099,10.352,58.21,99.6,24.17636915862379,5.7244638007508115,,49.781,0.0,1990,20,1.0108,False,False,False,False,True,False,False,False,True,False,333.22103784170474,0.0
18.67682049937213,7.0562054560590255,27.493,6.883,65.447,63.9,24.700510879861596,6.035646490672246,3.27,104.608,0.0710394,2000,30,1.0108,False,False,False,False,True,False,False,False,True,False,395.0149558750265,1.9530862242
18.815362176672238,7.0562054560590255,21.107,5.734,69.881,38.9,25.46819796530966,6.660772313500246,3.379,247.263,3.7,2010,40,1.0108,False,False,False,False,True,False,False,False,True,False,465.4614300397107,78.0959
18.8770290623751,7.0562054560590255,19.156,5.549,71.514,29.6,25.996265395510157,7.129658060860214,4.416,,14.4,2015,45,1.0108,False,False,False,False,True,False,False,False,True,False,509.8703665643573,275.8464
12.394198160062132,6.484581951772944,21.736,8.833,68.65,40.9,,,,,,1970,0,1.0015,False,True,False,False,False,False,True,False,False,False,,
12.443414916244196,6.484581951772944,17.698,8.479,72.222,23.6,20.572895170524845,8.13414787108538,,,,1980,10,1.0015,False,True,False,False,False,False,True,False,False,False,587.4644275455283,
12.464073558255038,6.484581951772944,15.988,7.763,74.704,16.1,21.428005563542165,8.955974435433262,,,0.0,1990,20,1.0015,False,True,False,False,False,False,True,False,False,False,669.0471142246064,0.0
12.486189926964677,6.484581951772944,13.934,7.553,77.162,13.7,21.861579492466074,9.349806618463708,9.35,,3.97368,2000,30,1.0015,False,True,False,False,False,False,True,False,False,False,721.4497782938967,55.36925711999999
12.523474914965657,6.484581951772944,11.748,8.368,78.364,13.5,22.23396570114251,9.683837890476173,10.69,,65.1,2010,40,1.0015,False,True,False,False,False,False,True,False,False,False,758.8642724492748,764.7947999999999
12.535674909263342,6.484581951772944,10.806,8.789,78.801,12.3,22.24587053833657,9.684491637872794,11.35,,76.11,2015,45,1.0015,False,True,False,False,False,False,True,False,False,False,763.1476255560141,822.4446599999999
16.0315335548451,3.827107612147379,15.976,8.989,70.0792,,,,,,,1970,0,0.9955,True,False,False,False,False,False,False,False,False,True,,
16.099652313409102,3.827107612147379,16.177,9.9,69.802,17.2,,,,,,1980,10,0.9955,True,False,False,False,False,False,False,False,False,True,,
16.160055397992647,3.827107612147379,14.0,10.8,70.8366,12.1,23.79827129139491,7.661451784406126,,4380.9,0.0,1990,20,0.9955,True,False,False,False,False,False,False,False,False,True,542.7111954712631,0.0
16.143420551417456,3.827107612147379,9.4,13.5,68.9122,9.9,23.267769129380873,7.151712710809474,11.942,2996.31,1.8604,2000,30,0.9955,True,False,False,False,False,False,False,False,False,True,492.8402566698446,17.48776
16.090871103223694,3.827107612147379,11.4,14.5,70.4049,4.2,24.795110838414427,8.729300062012884,6.061,3563.64,31.8,2010,40,0.9955,True,False,False,False,False,False,False,False,False,True,614.5854979360108,362.52000000000004
16.087699225007963,3.827107612147379,12.5,12.6,73.6244,3.0,24.756704383597903,8.690996907519564,5.913,,62.2304,2015,45,0.9955,True,False,False,False,False,False,False,False,False,True,639.8694327179833,777.88
16.08032898416707,5.944925983682032,14.7,12.3,70.972,20.5,24.01349813778642,7.930457973549896,,3031.52,,1970,0,1.0038,True,False,False,False,False,False,False,False,False,False,562.8404632987832,
16.100846333191257,5.944925983682032,12.6,11.5,73.2071,12.3,25.57529610086603,9.467529731227305,,4893.89,,1980,10,1.0038,True,False,False,False,False,False,False,False,False,False,693.0903957869305,
16.114043451878135,5.944925983682032,12.4,10.4,76.052,8.3,26.051142005735993,9.93840092548131,,6380.31,0.00100674,1990,20,1.0038,True,False,False,False,False,False,False,False,False,False,755.8352671847047,0.012483576
16.144186602490098,5.944925983682032,11.4,10.2,77.722,4.8,26.195536510617885,10.052226472312956,6.586,8247.68,29.4317,2000,30,1.0038,True,False,False,False,False,False,False,False,False,False,781.2791458811075,335.52138
16.202248086734016,5.944925983682032,11.9,9.7,80.1829,3.6,26.905350743663043,10.700548703010906,8.292,8393.95,75.0,2010,40,1.0038,True,False,False,False,False,False,False,False,False,False,858.0010265986532,892.5
16.23572783079209,5.944925983682032,10.8,9.8,80.9927,3.2,26.845758646460798,10.607601873555769,8.482,,85.0529,2015,45,1.0038,True,False,False,False,False,False,False,False,False,False,859.1383162643403,918.57132
11.702760392240696,2.870543130261979,41.927,8.323,65.566,70.1,17.790198455382612,6.0769309812878225,,,,1970,0,1.0131,False,True,False,False,False,False,False,False,False,True,398.44005671911736,
11.885405842373206,2.870543130261979,41.365,6.621,69.577,49.3,19.103464408309833,7.224818953510421,,,,1980,10,1.0131,False,True,False,False,False,False,False,False,False,True,502.6812283283945,
12.11499300436459,2.870543130261979,35.862,5.408,71.242,31.2,19.83674262339516,7.694934550211067,,,0.0,1990,20,1.0131,False,True,False,False,False,False,False,False,False,True,548.2025272261369,0.0
